Region,IncomeGroup,Country
Latin America & Caribbean,Upper middle income,Guyana
Europe & Central Asia,Upper middle income,Bosnia and Herzegovina
Latin America & Caribbean,Upper middle income,Dominica
Latin America & Caribbean,Upper middle income,Jamaica
Europe & Central Asia,Upper middle income,Bulgaria
Europe & Central Asia,Upper middle income,Armenia
Europe & Central Asia,Upper middle income,Albania
Europe & Central Asia,Upper middle income,Kazakhstan
Middle East & North Africa,Upper middle income,Jordan
Middle East & North Africa,Upper middle income,Iraq
East Asia & Pacific,Upper middle income,American Samoa
Europe & Central Asia,Upper middle income,Azerbaijan
Middle East & North Africa,Upper middle income,"Iran, Islamic Rep."
East Asia & Pacific,Lower middle income,Vanuatu
Sub-Saharan Africa,Lower middle income,"Congo, Rep."
East Asia & Pacific,Lower middle income,Vietnam
Sub-Saharan Africa,Lower middle income,Cabo Verde
East Asia & Pacific,Lower middle income,Kiribati
Sub-Saharan Africa,Lower middle income,Angola
Middle East & North Africa,Lower middle income,Djibouti
Europe & Central Asia,Lower middle income,Kosovo
Sub-Saharan Africa,Lower middle income,Sudan
Middle East & North Africa,Lower middle income,Tunisia
Sub-Saharan Africa,Lower middle income,Cameroon
Latin America & Caribbean,Lower middle income,El Salvador
Sub-Saharan Africa,Lower middle income,São Tomé and Principe
Sub-Saharan Africa,Lower middle income,Cote d'Ivoire
Sub-Saharan Africa,Lower middle income,Eswatini
South Asia,Lower middle income,Bhutan
Latin America & Caribbean,Lower middle income,Bolivia
Europe & Central Asia,Lower middle income,Uzbekistan
Europe & Central Asia,Lower middle income,Ukraine
East Asia & Pacific,Lower middle income,Timor-Leste
South Asia,Lower middle income,Bangladesh
East Asia & Pacific,Lower middle income,Solomon Islands
East Asia & Pacific,Lower middle income,Lao PDR
Middle East & North Africa,Lower middle income,West Bank and Gaza
East Asia & Pacific,Lower middle income,Papua New Guinea
East Asia & Pacific,Lower middle income,Mongolia
East Asia & Pacific,Lower middle income,Indonesia
Sub-Saharan Africa,Lower middle income,Mauritania
Europe & Central Asia,Lower middle income,Moldova
Sub-Saharan Africa,Lower middle income,Ghana
South Asia,Lower middle income,India
Middle East & North Africa,Lower middle income,Morocco
Latin America & Caribbean,Lower middle income,Honduras
Sub-Saharan Africa,Lower middle income,Lesotho
South Asia,Lower middle income,Sri Lanka
Latin America & Caribbean,Lower middle income,Nicaragua
Sub-Saharan Africa,Lower middle income,Nigeria
Europe & Central Asia,Lower middle income,Georgia
East Asia & Pacific,Lower middle income,Philippines
Middle East & North Africa,Lower middle income,"Egypt, Arab Rep."
Sub-Saharan Africa,Lower middle income,Kenya
Sub-Saharan Africa,Lower middle income,Zambia
South Asia,Lower middle income,Pakistan
East Asia & Pacific,Lower middle income,"Micronesia, Fed. Sts."
East Asia & Pacific,Lower middle income,Cambodia
Europe & Central Asia,Lower middle income,Kyrgyz Republic
East Asia & Pacific,Lower middle income,Myanmar
Middle East & North Africa,Low income,"Yemen, Rep."
Sub-Saharan Africa,Low income,Burundi
Sub-Saharan Africa,Low income,Benin
Sub-Saharan Africa,Low income,Uganda
Sub-Saharan Africa,Low income,Tanzania
South Asia,Low income,Afghanistan
Sub-Saharan Africa,Low income,Burkina Faso
Sub-Saharan Africa,Low income,Madagascar
Latin America & Caribbean,Low income,Haiti
Sub-Saharan Africa,Low income,Liberia
Sub-Saharan Africa,Low income,Chad
Europe & Central Asia,Low income,Tajikistan
Sub-Saharan Africa,Low income,Eritrea
Sub-Saharan Africa,Low income,Comoros
Sub-Saharan Africa,Low income,Rwanda
Sub-Saharan Africa,Low income,Ethiopia
Sub-Saharan Africa,Low income,Senegal
South Asia,Low income,Nepal
Sub-Saharan Africa,Low income,Sierra Leone
Sub-Saharan Africa,Low income,"Congo, Dem. Rep."
Sub-Saharan Africa,Low income,Somalia
Sub-Saharan Africa,Low income,Mali
Sub-Saharan Africa,Low income,South Sudan
Sub-Saharan Africa,Low income,Guinea
Sub-Saharan Africa,Low income,Central African Republic
Sub-Saharan Africa,Low income,"Gambia, The"
Sub-Saharan Africa,Low income,Malawi
Sub-Saharan Africa,Low income,Guinea-Bissau
Middle East & North Africa,Low income,Syrian Arab Republic
Sub-Saharan Africa,Low income,Mozambique
East Asia & Pacific,Low income,"Korea, Dem. People’s Rep."
Sub-Saharan Africa,Low income,Togo
Sub-Saharan Africa,Low income,Niger
Sub-Saharan Africa,Low income,Zimbabwe
